"Variable","Before","After","Change","Pct_Change"
"Board Size",12.4190231362468,11.9611048478016,-0.457918288445208,-3.68723275109058
"Gender Diversity (%)",19.1789267352185,31.6365501691094,12.4576234338908,64.9547474990598
"Board Independence (%)",57.4659447300771,65.4170180383314,7.95107330825433,13.8361482537201
"CSR Committee (%)",81.5552699228792,85.6820744081172,4.12680448523807,5.06013221357796
